2/28/2020,10:31,AM,0.15
2/28/2020,5:11,PM,0.74
2/28/2020,10:46,PM,0.24
2/29/2020,5:02,AM,0.69
2/29/2020,10:54,AM,0.17
2/29/2020,5:40,PM,0.71
2/29/2020,11:16,PM,0.28
3/1/2020,5:18,AM,0.63
3/1/2020,11:19,AM,0.19
3/1/2020,6:09,PM,0.68
3/1/2020,11:50,PM,0.33
3/2/2020,5:22,AM,0.58
3/2/2020,11:47,AM,0.23
3/2/2020,6:45,PM,0.63
3/3/2020,12:33,AM,0.39
3/3/2020,5:13,AM,0.53
3/3/2020,12:19,PM,0.28
3/3/2020,7:52,PM,0.59
3/4/2020,1:48,AM,0.45
3/4/2020,4:50,AM,0.48
3/4/2020,1:08,PM,0.34
3/4/2020,10:52,PM,0.58
3/5/2020,8:47,AM,0.39
3/5/2020,11:58,AM,0.41
3/5/2020,3:42,PM,0.38
3/6/2020,12:26,AM,0.63
3/6/2020,7:55,AM,0.35
3/6/2020,1:04,PM,0.49
3/6/2020,6:03,PM,0.33
3/7/2020,1:14,AM,0.69
3/7/2020,7:45,AM,0.29
3/7/2020,1:41,PM,0.57
3/7/2020,7:04,PM,0.27
3/8/2020,1:51,AM,0.74
3/8/2020,7:59,AM,0.22
3/8/2020,2:13,PM,0.65
3/8/2020,7:48,PM,0.2
3/9/2020,2:23,AM,0.77
3/9/2020,8:23,AM,0.16
3/9/2020,2:44,PM,0.73
3/9/2020,8:27,PM,0.15
3/10/2020,2:52,AM,0.79
3/10/2020,8:50,AM,0.1
3/10/2020,3:15,PM,0.78
3/10/2020,9:04,PM,0.13
3/11/2020,3:20,AM,0.79
3/11/2020,9:20,AM,0.07
3/11/2020,3:46,PM,0.82
3/11/2020,9:41,PM,0.13
3/12/2020,3:47,AM,0.77
3/12/2020,9:50,AM,0.05
3/12/2020,4:17,PM,0.83
3/12/2020,10:17,PM,0.15
3/13/2020,4:13,AM,0.74
3/13/2020,10:21,AM,0.06
3/13/2020,4:49,PM,0.81
3/13/2020,10:51,PM,0.19
3/14/2020,4:39,AM,0.7
3/14/2020,10:50,AM,0.09
3/14/2020,5:21,PM,0.77
3/14/2020,11:25,PM,0.25
3/15/2020,5:05,AM,0.65
3/15/2020,11:19,AM,0.15
3/15/2020,5:56,PM,0.71
3/15/2020,11:59,PM,0.32
3/16/2020,5:31,AM,0.59
3/16/2020,11:44,AM,0.21
3/16/2020,6:35,PM,0.64
3/17/2020,12:37,AM,0.39
3/17/2020,5:56,AM,0.52
3/17/2020,12:03,PM,0.29
3/17/2020,7:31,PM,0.57
3/18/2020,3:23,AM,0.44
3/18/2020,6:13,AM,0.45
3/18/2020,12:03,PM,0.36
3/18/2020,10:11,PM,0.53
3/19/2020,7:00,AM,0.38
3/19/2020,1:42,PM,0.44
3/19/2020,5:56,PM,0.38
3/20/2020,12:44,AM,0.57
3/20/2020,7:21,AM,0.31
3/20/2020,1:34,PM,0.51
3/20/2020,7:00,PM,0.33
3/21/2020,1:14,AM,0.62
3/21/2020,7:45,AM,0.25
3/21/2020,1:46,PM,0.57
3/21/2020,7:38,PM,0.28
3/22/2020,1:38,AM,0.66
3/22/2020,8:07,AM,0.2
3/22/2020,2:05,PM,0.63
3/22/2020,8:08,PM,0.23
3/23/2020,2:04,AM,0.7
3/23/2020,8:27,AM,0.16
3/23/2020,2:28,PM,0.69
3/23/2020,8:33,PM,0.2
3/24/2020,2:30,AM,0.72
3/24/2020,8:45,AM,0.13
3/24/2020,2:53,PM,0.73
3/24/2020,8:55,PM,0.17
3/25/2020,2:57,AM,0.74
3/25/2020,9:01,AM,0.11
3/25/2020,3:19,PM,0.77
3/25/2020,9:16,PM,0.16
3/26/2020,3:24,AM,0.73
3/26/2020,9:17,AM,0.1
3/26/2020,3:47,PM,0.78
3/26/2020,9:38,PM,0.15
3/27/2020,3:51,AM,0.71
3/27/2020,9:36,AM,0.1
3/27/2020,4:14,PM,0.78
3/27/2020,10:02,PM,0.16
3/28/2020,4:15,AM,0.68
3/28/2020,9:57,AM,0.1
3/28/2020,4:40,PM,0.76
3/28/2020,10:28,PM,0.18
3/29/2020,4:36,AM,0.63
3/29/2020,10:20,AM,0.12
3/29/2020,5:05,PM,0.73
3/29/2020,10:58,PM,0.22
3/30/2020,4:50,AM,0.58
3/30/2020,10:46,AM,0.15
3/30/2020,5:29,PM,0.69
3/30/2020,11:31,PM,0.27
3/31/2020,4:56,AM,0.53
3/31/2020,11:14,AM,0.19
3/31/2020,5:56,PM,0.63
4/1/2020,12:12,AM,0.33
4/1/2020,4:57,AM,0.48
4/1/2020,11:44,AM,0.25
4/1/2020,6:32,PM,0.57
