flo2d_250_station_id,ob_1_id,ob_1_dist,ob_2_id,ob_2_dist,ob_3_id,ob_3_dist
5382,Arangala,5.737490601652335,Gonawala,7.1967227107594125,Kottawa North Dharmapala School,8.15796728675985
5383,Arangala,5.9480619277951945,Gonawala,7.084988107467703,Kottawa North Dharmapala School,8.372222175208837
5384,Arangala,6.161687017532187,Gonawala,6.980515672769598,Kottawa North Dharmapala School,8.588485428392195
5385,Arangala,6.378059031905799,Gonawala,6.883636066625231,Kottawa North Dharmapala School,8.806609089057195
5386,Arangala,6.596907687580558,Gonawala,6.794674078777064,Kottawa North Dharmapala School,9.026458289232488
5387,Gonawala,6.713944447642859,Arangala,6.817994496944844,Kotikawatta,9.056988597487843
5388,Gonawala,6.641747369083119,Arangala,7.041108633221177,Kotikawatta,9.073335001861807
5389,Gonawala,6.578363783526062,Arangala,7.26606334445537,Kotikawatta,9.0965970283353
5390,Gonawala,6.52405057366661,Arangala,7.492692851692293,Kotikawatta,9.126721796865562
5391,Gonawala,6.47903585340424,Arangala,7.720849675618711,Kotikawatta,9.163641626027536
5392,Gonawala,6.443514504080665,Arangala,7.950402328194857,Kotikawatta,9.207274775123894
5393,Gonawala,6.417551328830598,Arangala,8.182257370056554,Kotikawatta,9.257763223176886
5394,Gonawala,6.390465633760395,Arangala,8.41009049135173,Kotikawatta,9.303836607791158
5395,Gonawala,6.384238071974687,Arangala,8.643290487683704,Kotikawatta,9.367092818013452
5396,Gonawala,6.3878982751716435,Arangala,8.877478400239227,Kotikawatta,9.436619307976043
5397,Gonawala,6.401429282528611,Arangala,9.112578062094972,Kotikawatta,9.512278584575894
5398,Gonawala,6.424768729281602,Arangala,9.348520686945378,Kotikawatta,9.59392555840962
5399,Gonawala,6.457810269048366,Arangala,9.585244025787327,Kotikawatta,9.681408740324954
5400,Gonawala,6.500405955759971,Kotikawatta,9.774571429072246,Arangala,9.822691635275502
5401,Gonawala,6.55236946314637,Kotikawatta,9.873252851085082,Arangala,10.060812232160904
5402,Gonawala,6.613479980143725,Kotikawatta,9.977289257485848,Arangala,10.299559140834997
5403,Gonawala,6.683486603598842,Kotikawatta,10.086514950245325,Arangala,10.538889795681833
5404,Gonawala,6.762113043141879,Kotikawatta,10.20076323560074,Arangala,10.778765312802058
5405,Gonawala,6.849062439238589,Kotikawatta,10.31986730316369,Arangala,11.019150108529368
5406,Gonawala,6.944022153293429,Kotikawatta,10.443661023354464,Arangala,11.260011565810242
5407,Gonawala,7.04666835453217,Kotikawatta,10.571979654408313,Arangala,11.501319738205995
5408,Gonawala,7.156670316974719,Kotikawatta,10.704660475072203,Arangala,11.74304708704835
5409,Gonawala,7.273694316102573,Kotikawatta,10.841543330040661,Arangala,11.985168248650004
5410,Gonawala,7.3979688787605085,Kotikawatta,10.983103435922528,Arangala,12.22873359295414
5411,Gonawala,7.528068087772278,Kotikawatta,11.127939320055667,Arangala,12.471575482981672
5412,Gonawala,7.66420110740882,Kotikawatta,11.276515852785645,Kittampahuwa,12.70361274341324
